id,label,comment,domains,ranges
incentives,Incentives,Description of bonus and commission compensation aspects of the job.,JobPosting,Text
cookingMethod,Cooking Method,"The method of cooking, such as Frying, Steaming, ...",Recipe,Text
recipeInstructions,Recipe Instructions,The steps to make the dish.,Recipe,Text
awards,Awards,Awards won by this person or for this creative work.,Person CreativeWork,Text
members,Members,A member of this organization.,Organization,Person Organization
address,Address,Physical address of the item.,Organization Place Person,PostalAddress
genre,Genre,Genre of the creative work,CreativeWork,Text
nationality,Nationality,Nationality of the person.,Person,Country
baseSalary,Base Salary,The base salary of the job.,JobPosting,Number
bitrate,Bitrate,The bitrate of the media object.,MediaObject,Text
prepTime,Prep Time,"The length of time it takes to prepare the recipe, in <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 duration format</a>.",Recipe,Duration
manufacturer,Manufacturer,The manufacturer of the product.,Product,Organization
box,Box,A polygon is the area enclosed by a point-to-point path for which the starting and ending points are the same. A polygon is expressed as a series of four or more spacedelimited points where the first and final points are identical.,GeoShape,Text
commentText,Comment Text,The text of the UserComment.,UserComments,Text
about,About,The subject matter of the content.,CreativeWork,Thing
benefits,Benefits,Description of benefits associated with the job.,JobPosting,Text
itemListElement,Item List Element,A single list item.,ItemList,Text
employees,Employees,People working for this organization.,Organization,Person
publisher,Publisher,The publisher of the creative work.,CreativeWork,Organization
wordCount,Word Count,The number of words in the text of the Article.,Article,Integer
tracks,Tracks,A music recording (track)—usually a single song.,MusicPlaylist MusicGroup,MusicRecording
cookTime,Cook Time,"The time it takes to actually cook the dish, in <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 duration format</a>.",Recipe,Duration
encodingFormat,Encoding Format,"mp3, mpeg4, etc.",MediaObject,Text
caption,Caption,The caption for this object.,VideoObject ImageObject,Text
sugarContent,Sugar Content,The number of grams of sugar.,NutritionInformation,Mass
itemOffered,Item Offered,The item being sold.,Offer,Product
workHours,Work Hours,"The typical working hours for this job (e.g. 1st shift, night shift, 8am-5pm).",JobPosting,Text
mentions,Mentions,"Indicates that the CreativeWork contains a reference to, but is not necessarily about a concept.",CreativeWork,Thing
embedURL,Embed URL,"A URL pointing to a player for a specific video. In general, this is the information in the <code>src</code> element of an <code>embed</code> tag and should not be the same as the content of the <code>loc</code> tag.",MediaObject,URL
discusses,Discusses,Specifies the CreativeWork associated with the UserComment.,UserComments,CreativeWork
printPage,Print Page,"If this NewsArticle appears in print, this field indicates the name of the page on which the article is found. Please note that this field is intended for the exact page name (e.g. A5, B18).",NewsArticle,Text
educationRequirements,Education Requirements,Educational background needed for the position.,JobPosting,Text
StartDate,Start Date,"The start date and time of the event (in <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 date format</a>).",TVSeason Event TVSeries,Date
honorificPrefix,Honorific Prefix,An honorific prefix preceding a Person's name such as Dr/Mrs/Mr.,Person,Text
isbn,ISBN,The ISBN of the book.,Book,Text
copyrightYear,Copyright Year,The year during which the claimed copyright for the CreativeWork was first asserted.,CreativeWork,Number
image,Image,URL of an image of the item.,Thing,URL
birthDate,Birth Date,Date of birth.,Person,Date
faxNumber,Fax Number,The fax number.,Organization ContactPoint Place Person,Text
price,Price,The offer price of the product.,Offer,Number Text
aggregateRating,Aggregate Rating,"The overall rating, based on a collection of reviews or ratings, of the item.",Organization Product CreativeWork Place Offer,AggregateRating
contactType,Contact Type,"A person or organization can have different contact points, for different purposes. For example, a sales contact point, a PR contact point and so on. This property is used to specify the kind of contact point.",ContactPoint,Text
contributor,Contributor,A secondary contributor to the CreativeWork.,CreativeWork,Person Organization
articleSection,Article Section,"Articles may belong to one or more 'sections' in a magazine or newspaper, such as Sports, Lifestyle, etc.",Article,Text
thumbnailUrl,Thumbnail Url,A thumbnail image relevant to the Thing.,CreativeWork,URL
musicGroupMember,Music Group Member,"A member of the music group—for example, John, Paul, George, or Ringo.",MusicGroup,Person
deathDate,Death Date,Date of death.,Person,Date
representativeOfPage,Representative of Page,Indicates whether this image is representative of the content of the page.,ImageObject,Boolean
servingSize,Serving Size,"The serving size, in terms of the number of volume or mass",NutritionInformation,Text
highPrice,High Price,The highest price of all offers available.,AggregateOffer,Number Text
spouse,Spouse,The person's spouse.,Person,Person
streetAddress,Street Address,"The street address. For example, 1600 Amphitheatre Pkwy.",PostalAddress,Text
bookEdition,Book Edition,The edition of the book.,Book,Text
width,Width,The width of the media object.,MediaObject,Distance
requiresSubscription,Requires Subscription,Indicates if use of the media require a subscription  (either paid or free). Allowed values are <code>yes</code> or <code>no</code>.,MediaObject,Boolean
tickerSymbol,Ticker Symbol,"The exchange traded instrument associated with a Corporation object. The tickerSymbol is expressed as an exchange and an instrument name separated by a space character. For the exchange component of the tickerSymbol attribute, we reccommend using the controlled vocaulary of Market Identifier Codes (MIC) specified in ISO15022.",Corporation,Text
numberOfEpisodes,Number of Episodes,The number of episodes in this season or series.,TVSeason TVSeries,Number
blogPosts,Blog Posts,The postings that are part of this blog,Blog,BlogPosting
editor,Editor,Specifies the Person who edited the CreativeWork.,CreativeWork,Person
nutrition,Nutrition,Nutrition information about the recipe.,Recipe,NutritionInformation
knows,Knows,The most generic bi-directional social/work relation.,Person,Person
numberOfPages,Number of Pages,The number of pages in the book.,Book,Integer
brand,Brand,The brand of the product.,Product,Organization
partOfTVSeries,Part of TV Series,The TV series to which this episode or season belongs.,TVEpisode TVSeason,TVSeries
line,Line,A line is a point-to-point path consisting of two or more points. A line is expressed as a series of two or more point objects separated by space.,GeoShape,Text
interactionCount,Interaction Count,"A count of a specific user interactions with this item—for example, <code>20 UserLikes</code>, <code>5 UserComments</code>, or <code>300 UserDownloads</code>. The user interaction type should be one of the sub types of <a href=""http://schema.org/UserInteraction"">UserInteraction</a>.",Organization Place Person CreativeWork,Text
founders,Founders,A person who founded this organization.,Organization,Person
copyrightHolder,Copyright Holder,The party holding the legal copyright to the CreativeWork.,CreativeWork,Person Organization
inAlbum,In Album,The album to which this recording belongs.,MusicRecording,MusicAlbum
cholesterolContent,Cholesterol Content,The number of milligrams of cholesterol.,NutritionInformation,Mass
albums,Albums,A collection of music albums.,MusicGroup,MusicAlbum
printColumn,Print Column,The number of the column in which the NewsArticle appears in the print edition.,NewsArticle,Text
byArtist,By Artist,The artist that performed this album or recording.,MusicAlbum MusicRecording,MusicGroup
proteinContent,Protein Content,The number of grams of protein.,NutritionInformation,Mass
experienceRequirements,Experience Requirements,Description of skills and experience needed for the position.,JobPosting,Text
illustrator,Illustrator,The illustrator of the book.,Book,Person
performers,Performers,"The main performer or performers of the event—for example, a presenter, musician, or actor.",Event,Person Organization
lowPrice,Low Price,The lowest price of all offers available.,AggregateOffer,Number Text
bookFormat,Book Format,The format of the book.,Book,BookFormatType
longitude,Longitude,The longitude of a location. For example <code>-122.08585</code>.,GeoCoordinates,Number Text
reviews,Reviews,Review of the item.,Organization Product CreativeWork Place Offer,Review
ratingValue,Rating Value,The rating for the content.,Rating,Text
jobLocation,Job Location,A (typically single) geographic location associated with the job position.,JobPosting,Place
openingHours,Opening Hours,"The opening hours for a business. Opening hours can be specified as a weekly time range, starting with days, then times per day. Multiple days can be listed with commas ',' separating each day. Day or time ranges are specified using a hyphen '-'.<br/>- Days are specified using the following two-letter combinations: <code>Mo</code>, <code>Tu</code>, <code>We</code>, <code>Th</code>, <code>Fr</code>, <code>Sa</code>, <code>Su</code>.<br/>- Times are specified using 24:00 time. For example, 3pm is specified as <code>15:00</code>. <br/>- Here is an example: <code>&lt;time itemprop=""openingHours"" datetime=""Tu,Th 16:00-20:00""&gt;Tuesdays and Thursdays 4-8pm&lt;/time&gt;</code>. <br/>- If a business is open 7 days a week, then it can be specified as <code>&lt;time itemprop=""openingHours"" datetime=""Mo-Su""&gt;Monday through Sunday, all day&lt;/time&gt;</code>.",LocalBusiness CivicStructure,Duration
sourceOrganization,Source Organization,The Organization on whose behalf the creator was working.,CreativeWork,Organization
videoFrameSize,Video Frame Size,The frame size of the video.,VideoObject,Text
regionsAllowed,Regions Allowed,"The regions where the media is allowed. If not specified, then it's assumed to be allowed everywhere. Specify the countries in <a href=""http://en.wikipedia.org/wiki/ISO_3166"" target=""new"">ISO 3166 format</a>.",MediaObject,Place
inLanguage,In Language,"The language of the content. please use one of the language codes from the <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard.</a>",CreativeWork,Text
priceValidUntil,Price Valid Until,The date after which the price is no longer available.,Offer,Date
calories,Calories,The number of calories,NutritionInformation,Energy
commentTime,Comment Time,The time at which the UserComment was made.,UserComments,Date
telephone,Telephone,The telephone number.,Organization ContactPoint Place Person,Text
numTracks,Num Tracks,The number of tracks in this album or playlist.,MusicPlaylist,Integer
carbohydrateContent,Carbohydrate Content,The number of grams of carbohydrates.,NutritionInformation,Mass
WorstRating,Worst Rating,"The lowest value allowed in this rating system. If WorstRating is omitted, 1 is assumed.",Rating,Number Text
ratingCount,Rating Count,The count of total number of ratings.,AggregateRating,Number
currenciesAccepted,Currencies Accepted,"The currency accepted (in <a href=""http://en.wikipedia.org/wiki/ISO_4217"" target=""new"">ISO 4217 currency format</a>).",LocalBusiness,Text
recipeCategory,Recipe Category,"The category of the recipe—for example, appetizer, entree, etc.",Recipe,Text
productID,Product ID,"The product identifier, such as ISBN. For example: <code>&lt;meta itemprop='productID' content='isbn:123-456-789'/&gt;</code>.",Product,Text
performerIn,Performer in,Event that this person is a performer or participant in.,Person,Event
postOfficeBoxNumber,Post Office Box Number,The post offce box number for PO box addresses.,PostalAddress,Text
servesCuisine,Serves Cuisine,The cuisine of the restaurant.,FoodEstablishment,Text
polygon,Polygon,A polygon is the area enclosed by a point-to-point path for which the starting and ending points are the same. A polygon is expressed as a series of four or more spacedelimited points where the first and final points are identical.,GeoShape,Text
ingredients,Ingredients,An ingredient used in the recipe.,Recipe,Text
employmentType,Employment Type,"Type of employment (e.g. full-time, part-time, contract, temporary, seasonal, internship).",JobPosting,Text
partOfSeason,Part of Season,The season to which this episode belongs.,TVEpisode,TVSeason
itemListOrder,Item List Order,"Type of ordering (e.g. Ascending, Descending, Unordered).",ItemList,Text
addressCountry,Address Country,"The country. For example, USA. You can also provide the two-letter <a href=""http://en.wikipedia.org/wiki/ISO_3166-1"" target=""new"">ISO 3166-1 alpha-2 country code</a>.",PostalAddress,Country
maps,Maps,A URL to a map of the place.,Place,URL
responsibilities,Responsibilities,Responsibilities associated with this role.,JobPosting,Text
branchOf,Branch of,"The larger organization that this local business is a branch of, if any.",LocalBusiness,Organization
actors,Actors,"A cast member of the movie, TV series, season, or episode, or video.",TVEpisode Movie TVSeries,Person
SuperEvent,Super Event,"An event that this event is a part of. For example, a collection of individual music performances might each have a music festival as their SuperEvent.",Event,Event
publishingPrinciples,Publishing Principles,Link to page describing the editorial principles of the organization primarily responsible for the creation of the CreativeWork.,CreativeWork,URL
associatedMedia,Associated Media,The media objects that encode this creative work. This property is a synonym for encodings.,CreativeWork,MediaObject
events,Events,Upcoming or past events associated with this place or organization.,Organization Place,Event
itemReviewed,Item Reviewed,The item that is being reviewed/rated.,AggregateRating Review,Thing
totalTime,Total Time,"The total time it takes to prepare and cook the recipe, in <a href=""http://en.wikipedia.org/wiki/ISO_8601"" target=""new"">ISO 8601 duration format</a>.",Recipe,Duration
specialCommitments,Special Commitments,"Any special commitments associated with this job posting. Valid entries include VeteranCommit, MilitarySpouseCommit, etc.",JobPosting,Text
seasonNumber,Season Number,The season number.,TVSeason,Integer
description,Description,A short description of the item.,Thing,Text
transFatContent,Trans Fat Content,The number of grams of trans fat.,NutritionInformation,Mass
exifData,Exif Data,exif data for this object.,ImageObject,Text
expires,Expires,Date the content expires and is no longer useful or available. Useful for videos.,MediaObject,Date
qualifications,Qualifications,Specific qualifications required for this role.,JobPosting,Text
unsaturatedFatContent,Unsaturated Fat Content,The number of grams of unsaturated fat.,NutritionInformation,Mass
director,Director,"The director of the movie, TV episode, or series.",TVEpisode Movie TVSeries,Person
breadcrumb,Breadcrumb,A set of links that can help a user understand and navigate a website hierarchy.,WebPage,Text
uploadDate,Upload Date,Date when this media object was uploaded to this site.,MediaObject,Date
seasons,Seasons,The seasons of the TV series.,TVSeries,TVSeason
dateCreated,Date Created,The date on which the CreativeWork was created.,CreativeWork,Date
transcript,Transcript,"If this MediaObject is an AudioObject or VideoObject, the transcript of that object.",AudioObject VideoObject,Text
contentLocation,Content Location,The location of the content.,CreativeWork,Place
fiberContent,Fiber Content,The number of grams of fiber.,NutritionInformation,Mass
playerType,Player Type,"Player type required—for example, Flash or Silverlight.",MediaObject,Text
photos,Photos,Photographs of this place.,Place,Photograph ImageObject
url,URL,URL of the item.,Thing,URL
industry,Industry,The industry associated with the job position.,JobPosting,Text
author,Author,The author of this content. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangabely.,CreativeWork,Person Organization
alumni,Alumni,Alumni of educational organization.,EducationalOrganization,Person
isFamilyFriendly,Is Family Friendly,Indicates whether this content is family friendly.,CreativeWork,Boolean
model,Model,The model of the product.,Product,Text
audio,Audio,An embedded audio object.,CreativeWork,AudioObject
alumniOf,Alumni of,An educational organizations that the person is an alumni of.,Person,EducationalOrganization
